C,Real-Time Five-Minute System Load Report,,,,,,,,,
C,Filename: rt_fiveminsysload_20220807.csv,,,,,,,,,
C,Report for: 08/07/2022 - 08/07/2022,,,,,,,,,
C,Report generated: 10/31/2022 14:28:19 EDT,,,,,,,,,
H,Date/Time,Total Load,Native Load,Asset Related Load,,,,Date/Time,Total Load,Total Load
H,Date/Time,MW,MW,MW,,23511.957,,Date/Time,10/30/2022,8/7/2022
D,8/7/2022 0:00,17713.088,17457.988,255.1,,16066.074,,12:00:00 AM,10204.065,17713.088
D,8/7/2022 0:05,17603.092,17348.191,254.9,,,,12:05:00 AM,10181.8,17603.092
D,8/7/2022 0:10,17523.93,17269.33,254.6,,,,12:10:00 AM,10134.104,17523.93
D,8/7/2022 0:15,17463.846,17207.146,256.7,,,,12:15:00 AM,10100.256,17463.846
D,8/7/2022 0:20,17385.93,17132.23,253.7,,,,12:20:00 AM,10073.172,17385.93
D,8/7/2022 0:25,17298.203,17045.104,253.1,,,,12:25:00 AM,10026.018,17298.203
D,8/7/2022 0:30,17235.79,16979.69,256.1,,,,12:30:00 AM,9983.656,17235.79
D,8/7/2022 0:35,17167.785,16908.385,259.4,,,,12:35:00 AM,9974.355,17167.785
D,8/7/2022 0:40,17089.197,16805.297,283.9,,,,12:40:00 AM,9921.416,17089.197
D,8/7/2022 0:45,17010.006,16749.105,260.9,,,,12:45:00 AM,9896.795,17010.006
D,8/7/2022 0:50,16884.19,16629.79,254.4,,,,12:50:00 AM,9887.158,16884.19
D,8/7/2022 0:55,16815.379,16561.78,253.6,,,,12:55:00 AM,10070.174,16815.379
D,8/7/2022 1:00,16722.041,16467.64,254.4,,,,1:00:00 AM,10095.857,16722.041
D,8/7/2022 1:05,16735.373,16465.373,270,,,,1:05:00 AM,10071.601,16735.373
D,8/7/2022 1:10,16664.61,16410.408,254.2,,,,1:10:00 AM,10014.088,16664.61
D,8/7/2022 1:15,16898.967,16315.067,583.9,,,,1:15:00 AM,10035.781,16898.967
D,8/7/2022 1:20,16860.736,16269.236,591.5,,,,1:20:00 AM,10004.133,16860.736
D,8/7/2022 1:25,16780.664,16198.464,582.2,,,,1:25:00 AM,9976.728,16780.664
D,8/7/2022 1:30,16762.58,16170.78,591.8,,,,1:30:00 AM,9954.766,16762.58
D,8/7/2022 1:35,16712.742,16114.242,598.5,,,,1:35:00 AM,9925.915,16712.742
D,8/7/2022 1:40,16875.621,16030.821,844.8,,,,1:40:00 AM,9912.298,16875.621
D,8/7/2022 1:45,16845.572,16001.372,844.2,,,,1:45:00 AM,9905.484,16845.572
D,8/7/2022 1:50,16787.758,15944.958,842.8,,,,1:50:00 AM,9925.181,16787.758
D,8/7/2022 1:55,16741.928,15898.428,843.5,,,,1:55:00 AM,10122.367,16741.928
D,8/7/2022 2:00,16692.412,15852.612,839.8,,,,2:00:00 AM,10112.646,16692.412
D,8/7/2022 2:05,16646.28,15808.579,837.7,,,,2:05:00 AM,10147.487,16646.28
D,8/7/2022 2:10,16631.031,15775.431,855.6,,,,2:10:00 AM,10135.276,16631.031
D,8/7/2022 2:15,16599.408,15732.508,866.9,,,,2:15:00 AM,10119.592,16599.408
D,8/7/2022 2:20,16510.348,15673.348,837,,,,2:20:00 AM,10071.319,16510.348
D,8/7/2022 2:25,16483.207,15625.907,857.3,,,,2:25:00 AM,10092.379,16483.207
D,8/7/2022 2:30,16440.441,15598.441,842,,,,2:30:00 AM,10082.439,16440.441
D,8/7/2022 2:35,16379.357,15535.457,843.9,,,,2:35:00 AM,10086.604,16379.357
D,8/7/2022 2:40,16366.156,15522.156,844,,,,2:40:00 AM,10070.351,16366.156
D,8/7/2022 2:45,16296,15455.7,840.3,,,,2:45:00 AM,10069.645,16296
D,8/7/2022 2:50,16265.199,15423.499,841.7,,,,2:50:00 AM,10039.175,16265.199
D,8/7/2022 2:55,16210.448,15373.848,836.6,,,,2:55:00 AM,10041.268,16210.448
D,8/7/2022 3:00,16213.492,15373.692,839.8,,,,3:00:00 AM,10026.451,16213.492
D,8/7/2022 3:05,16192.597,15351.997,840.6,,,,3:05:00 AM,10037.81,16192.597
D,8/7/2022 3:10,16147.327,15309.727,837.6,,,,3:10:00 AM,10027.225,16147.327
D,8/7/2022 3:15,16121.745,15281.845,839.9,,,,3:15:00 AM,10032.198,16121.745
D,8/7/2022 3:20,16085.285,15246.485,838.8,,,,3:20:00 AM,10039.282,16085.285
D,8/7/2022 3:25,16066.074,15227.574,838.5,,,,3:25:00 AM,10016.714,16066.074
D,8/7/2022 3:30,16092.658,15242.758,849.9,,,,3:30:00 AM,9997.864,16092.658
D,8/7/2022 3:35,16269.695,15181.895,1087.8,,,,3:35:00 AM,10044.448,16269.695
D,8/7/2022 3:40,16247.574,15153.874,1093.7,,,,3:40:00 AM,10027.979,16247.574
