latitude  longitude
42.699946 -72.124067
42.699972 -72.124279
42.699970 -72.125355
42.699945 -72.125144
42.699921 -72.124934
42.699896 -72.124723
42.699871 -72.124512
42.699846 -72.124302
42.699822 -72.124089
42.699796 -72.123877
42.699635 -72.123912
42.699660 -72.124122
42.699686 -72.124333
42.699711 -72.124543
42.699737 -72.124752
42.699761 -72.124963
42.699786 -72.125171
42.699812 -72.125383
42.699836 -72.125593
42.699885 -72.126012
42.699910 -72.126223
42.699934 -72.126434
42.699983 -72.126855
42.699990 -72.128114
42.699914 -72.127480
42.699888 -72.127270
42.699864 -72.127059
42.699839 -72.126849
42.699813 -72.126640
42.699789 -72.126429
42.699739 -72.126007
42.699618 -72.124953
42.699593 -72.124742
42.699569 -72.124531
42.699544 -72.124319
42.699520 -72.124106
42.699494 -72.123894
42.699333 -72.123928
42.699357 -72.124138
42.699383 -72.124351
42.699407 -72.124561
42.699432 -72.124770
42.699456 -72.124979
42.699581 -72.126030
42.699607 -72.126241
42.699632 -72.126451
42.699659 -72.126664
42.699683 -72.126874
42.699709 -72.127084
42.699735 -72.127295
42.699759 -72.127506
42.699785 -72.127715
42.699809 -72.127928
42.699835 -72.128140
42.699884 -72.128560
42.699909 -72.128770
42.699932 -72.128980
42.699958 -72.129192
42.699982 -72.129402
42.699981 -72.130664
42.699956 -72.130454
42.699932 -72.130244
42.699908 -72.130033
42.699884 -72.129822
42.699834 -72.129400
42.699809 -72.129190
42.699785 -72.128978
42.699760 -72.128768
42.699736 -72.128558
42.699712 -72.128349
42.699687 -72.128140
42.699662 -72.127930
42.699636 -72.127716
42.699612 -72.127506
42.699586 -72.127296
42.699537 -72.126873
42.699487 -72.126450
42.699437 -72.126028
42.699412 -72.125818
42.699315 -72.124976
42.699290 -72.124767
42.699266 -72.124556
42.699241 -72.124345
42.699217 -72.124132
42.699191 -72.123921
42.699029 -72.123954
42.699054 -72.124165
42.699080 -72.124377
42.699104 -72.124588
42.699130 -72.124798
42.699154 -72.125007
42.699204 -72.125427
42.699229 -72.125638
42.699254 -72.125847
42.699278 -72.126056
42.699304 -72.126268
42.699329 -72.126479
42.699379 -72.126903
42.699405 -72.127114
42.699431 -72.127325
42.699456 -72.127537
42.699482 -72.127749
42.699507 -72.127963
42.699532 -72.128173
42.699556 -72.128380
42.699581 -72.128588
42.699606 -72.128798
42.699631 -72.129008
42.699656 -72.129219
42.699680 -72.129429
42.699729 -72.129847
42.699755 -72.130057
42.699780 -72.130269
42.699804 -72.130478
42.699829 -72.130687
42.699878 -72.131105
42.699902 -72.131314
42.699951 -72.131733
42.699976 -72.131941
42.699975 -72.133218
42.699927 -72.132801
42.699878 -72.132382
42.699805 -72.131753
42.699782 -72.131543
42.699757 -72.131332
42.699733 -72.131122
42.699708 -72.130913
42.699684 -72.130704
42.699660 -72.130495
42.699636 -72.130285
42.699587 -72.129865
42.699563 -72.129656
42.699488 -72.129027
42.699464 -72.128818
42.699439 -72.128608
42.699415 -72.128397
42.699391 -72.128186
42.699365 -72.127976
42.699341 -72.127763
42.699315 -72.127551
42.699291 -72.127340
42.699265 -72.127129
42.699241 -72.126916
42.699218 -72.126705
42.699192 -72.126493
42.699168 -72.126282
42.699143 -72.126071
42.699119 -72.125860
42.699094 -72.125651
42.699045 -72.125226
42.698999 -72.124808
42.698974 -72.124598
42.698950 -72.124385
42.698924 -72.124172
42.698901 -72.123961
42.698875 -72.123750
42.698714 -72.123785
42.698738 -72.123995
42.698764 -72.124206
42.698788 -72.124419
42.698814 -72.124630
42.698838 -72.124841
42.698863 -72.125050
42.698888 -72.125260
42.698912 -72.125472
42.698938 -72.125684
42.698962 -72.125895
42.699012 -72.126318
42.699038 -72.126528
42.699062 -72.126741
42.699088 -72.126952
42.699114 -72.127164
42.699138 -72.127375
42.699163 -72.127586
42.699188 -72.127796
42.699214 -72.128008
42.699238 -72.128218
42.699263 -72.128429
42.699289 -72.128639
42.699313 -72.128849
42.699411 -72.129686
42.699461 -72.130103
42.699486 -72.130313
42.699511 -72.130521
42.699583 -72.131149
42.699608 -72.131358
42.699632 -72.131569
42.699682 -72.131989
42.699755 -72.132617
42.699780 -72.132827
42.699804 -72.133036
42.699829 -72.133245
42.699877 -72.133660
42.699902 -72.133868
42.699926 -72.134077
42.699951 -72.134285
42.699995 -72.135991
42.699971 -72.135783
42.699947 -72.135574
42.699922 -72.135366
42.699898 -72.135158
42.699850 -72.134739
42.699826 -72.134530
42.699802 -72.134322
42.699778 -72.134113
42.699753 -72.133901
42.699730 -72.133692
42.699682 -72.133275
42.699659 -72.133066
42.699634 -72.132857
42.699514 -72.131815
42.699491 -72.131608
42.699443 -72.131189
42.699418 -72.130980
42.699395 -72.130772
42.699274 -72.129721
42.699249 -72.129511
42.699226 -72.129302
42.699201 -72.129090
42.699177 -72.128881
42.699104 -72.128251
42.699079 -72.128042
42.699055 -72.127831
42.699030 -72.127620
42.699006 -72.127408
42.698981 -72.127198
42.698957 -72.126988
42.698933 -72.126776
42.698907 -72.126564
42.698883 -72.126352
42.698858 -72.126142
42.698834 -72.125928
42.698809 -72.125717
42.698759 -72.125294
42.698735 -72.125083
42.698712 -72.124873
