X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,8.02E-03,1.00E-06
0,8.80E-01,7.20E-03,,
1,8.20E-01,-3.20E-03,,
2,8.60E-01,-1.60E-03,,
3,9.20E-01,7.20E-03,,
4,8.60E-01,1.04E-02,,
5,9.20E-01,-6.40E-03,,
6,8.80E-01,7.20E-03,,
7,9.60E-01,-3.20E-03,,
8,8.80E-01,7.20E-03,,
9,9.60E-01,-3.20E-03,,
10,9.60E-01,-3.20E-03,,
11,8.80E-01,7.20E-03,,
12,9.20E-01,8.00E-03,,
13,9.80E-01,-1.04E-02,,
14,9.80E-01,7.20E-03,,
15,9.20E-01,-3.20E-03,,
16,9.80E-01,-3.20E-03,,
17,9.20E-01,7.20E-03,,
18,9.60E-01,-1.60E-03,,
19,1.02E+00,7.20E-03,,
20,1.02E+00,-6.40E-03,,
21,9.60E-01,1.04E-02,,
22,9.80E-01,-1.60E-03,,
23,1.02E+00,7.20E-03,,
24,9.80E-01,-3.20E-03,,
25,1.04E+00,8.00E-03,,
26,1.04E+00,7.20E-03,,
27,9.80E-01,-3.20E-03,,
28,1.02E+00,7.20E-03,,
29,1.08E+00,-8.00E-03,,
30,1.08E+00,8.00E-03,,
31,1.02E+00,-4.00E-03,,
32,1.08E+00,-1.60E-03,,
33,1.02E+00,7.20E-03,,
34,1.04E+00,7.20E-03,,
35,1.10E+00,-3.20E-03,,
36,1.10E+00,-6.40E-03,,
37,1.04E+00,1.20E-02,,
38,1.08E+00,-9.60E-03,,
39,1.10E+00,1.20E-02,,
40,1.08E+00,8.00E-03,,
41,1.14E+00,-4.00E-03,,
42,1.14E+00,-3.20E-03,,
43,1.08E+00,8.00E-03,,
44,1.10E+00,9.60E-03,,
45,1.18E+00,-1.20E-02,,
46,1.10E+00,-3.20E-03,,
47,1.18E+00,8.00E-03,,
48,1.18E+00,7.20E-03,,
49,1.10E+00,-3.20E-03,,
50,1.14E+00,-1.60E-03,,
51,1.20E+00,7.20E-03,,
52,1.14E+00,-5.60E-03,,
53,1.20E+00,9.60E-03,,
54,1.18E+00,9.60E-03,,
55,1.20E+00,-4.00E-03,,
56,1.18E+00,-1.60E-03,,
57,1.24E+00,7.20E-03,,
58,1.24E+00,7.20E-03,,
59,1.18E+00,-3.20E-03,,
60,1.20E+00,8.00E-03,,
61,1.24E+00,-9.60E-03,,
62,1.26E+00,-4.00E-03,,
63,1.20E+00,9.60E-03,,
64,1.26E+00,-3.20E-03,,
65,1.20E+00,8.00E-03,,
66,1.24E+00,1.04E-02,,
67,1.30E+00,-4.00E-03,,
68,1.24E+00,8.00E-03,,
69,1.30E+00,-1.60E-03,,
70,1.26E+00,-5.60E-03,,
71,1.30E+00,1.44E-02,,
72,1.26E+00,7.20E-03,,
73,1.34E+00,-8.00E-04,,
74,1.34E+00,-1.60E-03,,
75,1.26E+00,8.00E-03,,
76,1.30E+00,1.28E-02,,
77,1.36E+00,-9.60E-03,,
78,1.30E+00,-1.60E-03,,
79,1.36E+00,9.60E-03,,
80,1.36E+00,-8.00E-04,,
81,1.30E+00,9.60E-03,,
82,1.34E+00,1.20E-02,,
83,1.40E+00,-3.20E-03,,
84,1.40E+00,9.60E-03,,
85,1.34E+00,-8.00E-04,,
86,1.36E+00,1.28E-02,,
87,1.40E+00,-1.60E-03,,
88,1.36E+00,8.00E-04,,
89,1.42E+00,9.60E-03,,
90,1.42E+00,8.00E-04,,
91,1.36E+00,9.60E-03,,
92,1.42E+00,1.28E-02,,
93,1.40E+00,-1.04E-02,,
94,1.40E+00,1.20E-02,,
95,1.46E+00,-8.00E-04,,
96,1.42E+00,1.04E-02,,
97,1.46E+00,-8.00E-04,,
98,1.42E+00,1.28E-02,,
99,1.48E+00,-1.60E-03,,
100,1.42E+00,1.60E-03,,
101,1.48E+00,1.04E-02,,
102,1.46E+00,1.68E-02,,
103,1.48E+00,-8.00E-04,,
104,1.46E+00,1.04E-02,,
105,1.52E+00,1.60E-03,,
106,1.52E+00,3.20E-03,,
107,1.46E+00,1.28E-02,,
108,1.48E+00,1.44E-02,,
109,1.52E+00,-3.20E-03,,
110,1.48E+00,1.44E-02,,
111,1.56E+00,8.00E-04,,
112,1.56E+00,1.28E-02,,
113,1.48E+00,3.20E-03,,
114,1.52E+00,1.68E-02,,
115,1.58E+00,8.00E-04,,
116,1.58E+00,4.00E-03,,
117,1.52E+00,1.44E-02,,
118,1.56E+00,1.92E-02,,
119,1.58E+00,1.60E-03,,
120,1.56E+00,5.60E-03,,
121,1.62E+00,1.44E-02,,
122,1.62E+00,1.44E-02,,
123,1.56E+00,5.60E-03,,
124,1.58E+00,7.20E-03,,
125,1.62E+00,1.52E-02,,
126,1.58E+00,1.76E-02,,
127,1.64E+00,-1.60E-03,,
128,1.62E+00,1.92E-02,,
129,1.64E+00,3.20E-03,,
130,1.62E+00,8.00E-03,,
131,1.68E+00,1.68E-02,,
132,1.62E+00,1.68E-02,,
133,1.68E+00,8.00E-03,,
134,1.64E+00,2.40E-02,,
135,1.68E+00,7.20E-03,,
136,1.64E+00,9.60E-03,,
137,1.70E+00,1.76E-02,,
138,1.70E+00,9.60E-03,,
139,1.64E+00,1.92E-02,,
140,1.68E+00,1.04E-02,,
141,1.70E+00,1.92E-02,,
142,1.68E+00,2.40E-02,,
143,1.74E+00,1.60E-03,,
144,1.70E+00,2.40E-02,,
145,1.74E+00,8.00E-03,,
146,1.70E+00,1.28E-02,,
147,1.78E+00,2.08E-02,,
148,1.78E+00,1.28E-02,,
149,1.70E+00,2.16E-02,,
150,1.78E+00,2.64E-02,,
151,1.70E+00,9.60E-03,,
152,1.74E+00,1.44E-02,,
153,1.80E+00,2.32E-02,,
154,1.74E+00,2.32E-02,,
155,1.80E+00,1.44E-02,,
156,1.78E+00,1.52E-02,,
157,1.80E+00,2.40E-02,,
158,1.78E+00,2.80E-02,,
159,1.84E+00,9.60E-03,,
160,1.84E+00,3.12E-02,,
161,1.78E+00,1.04E-02,,
162,1.80E+00,2.56E-02,,
163,1.84E+00,1.68E-02,,
164,1.80E+00,1.76E-02,,
165,1.86E+00,2.64E-02,,
166,1.84E+00,3.12E-02,,
167,1.86E+00,1.52E-02,,
168,1.84E+00,2.80E-02,,
169,1.90E+00,1.92E-02,,
170,1.86E+00,2.08E-02,,
171,1.90E+00,2.88E-02,,
172,1.86E+00,2.88E-02,,
173,1.90E+00,2.08E-02,,
174,1.86E+00,3.28E-02,,
175,1.94E+00,1.28E-02,,
176,1.90E+00,1.76E-02,,
177,1.94E+00,3.52E-02,,
178,1.90E+00,2.32E-02,,
179,1.94E+00,3.12E-02,,
180,1.90E+00,2.40E-02,,
181,1.96E+00,3.28E-02,,
182,1.94E+00,2.16E-02,,
183,1.96E+00,3.76E-02,,
184,1.94E+00,2.56E-02,,
185,1.96E+00,3.44E-02,,
186,1.96E+00,3.44E-02,,
187,2.00E+00,2.64E-02,,
188,1.96E+00,3.52E-02,,
189,2.00E+00,2.64E-02,,
190,1.96E+00,2.08E-02,,
191,2.02E+00,4.40E-02,,
192,2.00E+00,2.88E-02,,
193,2.02E+00,3.76E-02,,
194,2.00E+00,2.88E-02,,
195,2.02E+00,3.76E-02,,
196,2.00E+00,3.04E-02,,
197,2.06E+00,4.00E-02,,
198,2.02E+00,4.40E-02,,
199,2.06E+00,2.88E-02,,
200,2.02E+00,4.40E-02,,
201,2.08E+00,2.88E-02,,
202,2.08E+00,4.16E-02,,
203,2.02E+00,3.12E-02,,
204,2.06E+00,3.44E-02,,
