Aidan Carey,,,tval,xdrag,ydrag,ydrag ratio
ECE202,,,0,0,0,0
10-Dec,,,0.01,4.928139837,2.609774127,0.501029272
,,,0.02,9.855980773,5.208825662,0.668041791
min value of ydrag ratio,index,flight time value,0.03,14.78352311,7.797155403,0.751550136
-2.70843297,494,4.92,0.04,19.71076714,10.37476415,0.80165682
,,,0.05,24.63771318,12.9416527,0.835062684
,,,0.06,29.56436151,15.49782184,0.858925228
,,,0.07,34.49071243,18.04327236,0.876823205
,,,0.08,39.41676625,20.57800507,0.89074481
,,,0.09,44.34252324,23.10202075,0.901882959
,,,0.1,49.26798372,25.61532017,0.910996781
,,,0.11,54.19314797,28.11790414,0.918592364
,,,0.12,59.11801629,30.60977343,0.925020074
,,,0.13,64.04258896,33.09092883,0.930530173
,,,0.14,68.96686628,35.56137112,0.935306188
,,,0.15,73.89084854,38.02110107,0.939485763
,,,0.16,78.81453602,40.47011947,0.943174155
,,,0.17,83.73792902,42.90842708,0.946453232
,,,0.18,88.66102781,45.33602469,0.949387624
,,,0.19,93.58383269,47.75291306,0.952029039
,,,0.2,98.50634394,50.15909297,0.954419332
,,,0.21,103.4285618,52.55456518,0.956592749
,,,0.22,108.3504867,54.93933046,0.958577583
,,,0.23,113.2721188,57.31338958,0.960397408
,,,0.24,118.1934583,59.67674331,0.962072028
,,,0.25,123.1145057,62.02939239,0.963618199
,,,0.26,128.0352611,64.3713376,0.965050196
,,,0.27,132.9557248,66.7025797,0.966380254
,,,0.28,137.8758971,69.02311943,0.967618921
,,,0.29,142.7957784,71.33295756,0.968775338
,,,0.3,147.7153688,73.63209484,0.969857466
,,,0.31,152.6346686,75.92053203,0.970872273
,,,0.32,157.5536782,78.19826987,0.97182588
,,,0.33,162.4723977,80.46530912,0.97272369
,,,0.34,167.3908275,82.72165051,0.973570486
,,,0.35,172.3089679,84.96729481,0.974370522
,,,0.36,177.226819,87.20224275,0.975127591
,,,0.37,182.1443812,89.42649507,0.975845087
,,,0.38,187.0616547,91.64005253,0.976526056
,,,0.39,191.9786398,93.84291585,0.977173239
,,,0.4,196.8953368,96.03508578,0.97778911
,,,0.41,201.8117459,98.21656305,0.978375907
,,,0.42,206.7278674,100.3873484,0.97893566
,,,0.43,211.6437015,102.5474426,0.979470215
,,,0.44,216.5592486,104.6968463,0.979981254
,,,0.45,221.4745088,106.8355603,0.98047031
,,,0.46,226.3894825,108.9635852,0.980938791
,,,0.47,231.3041699,111.080922,0.981387981
,,,0.48,236.2185712,113.1875711,0.981819066
,,,0.49,241.1326867,115.2835335,0.982233131
,,,0.5,246.0465166,117.3688098,0.98263118
,,,0.51,250.9600613,119.4434007,0.983014139
,,,0.52,255.873321,121.5073069,0.983382862
,,,0.53,260.7862959,123.5605293,0.983738143
,,,0.54,265.6989862,125.6030684,0.984080716
,,,0.55,270.6113923,127.634925,0.984411263
,,,0.56,275.5235143,129.6560998,0.984730419
,,,0.57,280.4353526,131.6665935,0.985038773
,,,0.58,285.3469073,133.6664069,0.985336878
,,,0.59,290.2581787,135.6555407,0.985625246
,,,0.6,295.1691671,137.6339955,0.985904358
,,,0.61,300.0798727,139.601772,0.986174663
,,,0.62,304.9902958,141.5588711,0.986436582
,,,0.63,309.9004365,143.5052933,0.98669051
,,,0.64,314.8102951,145.4410394,0.986936816
,,,0.65,319.7198719,147.36611,0.987175848
,,,0.66,324.6291672,149.280506,0.987407933
,,,0.67,329.538181,151.1842279,0.987633379
,,,0.68,334.4469138,153.0772765,0.987852477
,,,0.69,339.3553656,154.9596525,0.988065499
,,,0.7,344.2635368,156.8313565,0.988272703
,,,0.71,349.1714276,158.6923893,0.988474333
,,,0.72,354.0790382,160.5427516,0.98867062
,,,0.73,358.9863689,162.382444,0.988861781
,,,0.74,363.8934198,164.2114672,0.989048023
,,,0.75,368.8001912,166.029822,0.989229541
,,,0.76,373.7066834,167.8375089,0.989406521
,,,0.77,378.6128965,169.6345288,0.989579138
,,,0.78,383.5188308,171.4208822,0.989747559
,,,0.79,388.4244866,173.1965699,0.989911942
,,,0.8,393.3298639,174.9615925,0.99007244
,,,0.81,398.2349632,176.7159507,0.990229194
,,,0.82,403.1397845,178.4596452,0.990382342
,,,0.83,408.0443281,180.1926767,0.990532014
,,,0.84,412.9485942,181.9150458,0.990678333
,,,0.85,417.8525831,183.6267533,0.990821418
,,,0.86,422.7562949,185.3277998,0.990961381
,,,0.87,427.65973,187.0181859,0.99109833
,,,0.88,432.5628884,188.6979123,0.991232369
,,,0.89,437.4657704,190.3669798,0.991363594
,,,0.9,442.3683762,192.025389,0.991492101
,,,0.91,447.270706,193.6731404,0.991617979
,,,0.92,452.1727601,195.3102349,0.991741314
,,,0.93,457.0745387,196.9366731,0.991862188
,,,0.94,461.9760419,198.5524556,0.991980681
,,,0.95,466.87727,200.1575831,0.992096868
,,,0.96,471.7782231,201.7520563,0.992210821
,,,0.97,476.6789015,203.3358758,0.992322611
,,,0.98,481.5793054,204.9090422,0.992432303
,,,0.99,486.479435,206.4715563,0.992539963
,,,1,491.3792905,208.0234187,0.992645651
,,,1.01,496.2788721,209.56463,0.992749428
,,,1.02,501.17818,211.0951909,0.992851349
,,,1.03,506.0772144,212.6151021,0.99295147
,,,1.04,510.9759754,214.1243642,0.993049843
,,,1.05,515.8744633,215.6229778,0.993146519
,,,1.06,520.7726784,217.1109436,0.993241546
,,,1.07,525.6706206,218.5882623,0.993334973
,,,1.08,530.5682904,220.0549345,0.993426843
,,,1.09,535.4656878,221.5109608,0.993517201
,,,1.1,540.3628131,222.9563418,0.993606089
,,,1.11,545.2596664,224.3910784,0.993693548
,,,1.12,550.156248,225.8151709,0.993779616
,,,1.13,555.0525579,227.2286202,0.993864332
,,,1.14,559.9485965,228.6314269,0.993947731
,,,1.15,564.8443639,230.0235915,0.99402985
,,,1.16,569.7398602,231.4051148,0.994110722
,,,1.17,574.6350857,232.7759973,0.994190381
,,,1.18,579.5300405,234.1362397,0.994268857
,,,1.19,584.4247249,235.4858427,0.994346183
,,,1.2,589.319139,236.8248068,0.994422387
,,,1.21,594.2132829,238.1531327,0.994497499
,,,1.22,599.1071569,239.4708211,0.994571547
,,,1.23,604.0007611,240.7778725,0.994644557
,,,1.24,608.8940958,242.0742876,0.994716555
,,,1.25,613.787161,243.360067,0.994787568
,,,1.26,618.679957,244.6352113,0.994857619
,,,1.27,623.5724839,245.8997213,0.994926733
,,,1.28,628.4647419,247.1535974,0.994994933
,,,1.29,633.3567312,248.3968403,0.99506224
,,,1.3,638.248452,249.6294507,0.995128677
,,,1.31,643.1399043,250.8514292,0.995194264
,,,1.32,648.0310884,252.0627763,0.995259023
,,,1.33,652.9220045,253.2634928,0.995322973
,,,1.34,657.8126526,254.4535792,0.995386133
,,,1.35,662.703033,255.6330361,0.995448522
,,,1.36,667.5931458,256.8018642,0.995510158
,,,1.37,672.4829913,257.960064,0.99557106
,,,1.38,677.3725694,259.1076363,0.995631243
,,,1.39,682.2618805,260.2445816,0.995690726
,,,1.4,687.1509246,261.3709004,0.995749523
,,,1.41,692.039702,262.4865936,0.995807652
,,,1.42,696.9282127,263.5916615,0.995865127
,,,1.43,701.8164569,264.686105,0.995921963
,,,1.44,706.7044349,265.7699245,0.995978176
,,,1.45,711.5921466,266.8431206,0.996033778
,,,1.46,716.4795923,267.9056941,0.996088784
,,,1.47,721.3667722,268.9576454,0.996143208
,,,1.48,726.2536863,269.9989753,0.996197063
,,,1.49,731.1403349,271.0296842,0.99625036
,,,1.5,736.026718,272.0497729,0.996303114
,,,1.51,740.9128358,273.0592418,0.996355335
,,,1.52,745.7986885,274.0580917,0.996407036
,,,1.53,750.6842762,275.0463231,0.996458229
,,,1.54,755.569599,276.0239367,0.996508925
,,,1.55,760.4546571,276.9909329,0.996559134
,,,1.56,765.3394506,277.9473125,0.996608867
,,,1.57,770.2239796,278.893076,0.996658136
,,,1.58,775.1082444,279.828224,0.996706949
,,,1.59,779.9922449,280.7527571,0.996755318
,,,1.6,784.8759814,281.6666759,0.996803252
,,,1.61,789.759454,282.569981,0.99685076
,,,1.62,794.6426628,283.4626731,0.996897852
,,,1.63,799.525608,284.3447526,0.996944537
,,,1.64,804.4082896,285.2162202,0.996990824
,,,1.65,809.2907079,286.0770766,0.997036721
,,,1.66,814.1728629,286.9273221,0.997082238
,,,1.67,819.0547547,287.7669576,0.997127382
,,,1.68,823.9363835,288.5959835,0.997172162
,,,1.69,828.8177494,289.4144005,0.997216586
